geography_code,geography_name,age,gender,Claimant count,Population estimate,Claimants percentage
E14000669,Doncaster North,Aged 16-24,Total,640.0,9217.0,6.943691005750244
E14000670,Dover,Aged 16+,Total,2505.0,85371.0,2.9342516779702708
E14000670,Dover,Aged 16-24,Total,550.0,9061.0,6.069970201964463
E14000671,Dudley North,Aged 16+,Total,3175.0,68394.0,4.642220077784601
E14000671,Dudley North,Aged 16-24,Total,670.0,8693.0,7.7073507419763025
E14000672,Dudley South,Aged 16+,Total,2370.0,65701.0,3.60725103118674
E14000672,Dudley South,Aged 16-24,Total,490.0,7918.0,6.188431422076282
E14000673,Dulwich and West Norwood,Aged 16+,Total,4420.0,89688.0,4.928195522254928
E14000673,Dulwich and West Norwood,Aged 16-24,Total,665.0,9153.0,7.265377471867147
E14000674,Ealing Central and Acton,Aged 16+,Total,5035.0,99681.0,5.051113050631514
E14000674,Ealing Central and Acton,Aged 16-24,Total,680.0,12839.0,5.296362645065815
E14000675,Ealing North,Aged 16+,Total,5560.0,90966.0,6.112173779214212
E14000675,Ealing North,Aged 16-24,Total,770.0,11223.0,6.860910629956339
E14000676,"Ealing, Southall",Aged 16+,Total,4215.0,75235.0,5.602445670233269
E14000676,"Ealing, Southall",Aged 16-24,Total,545.0,9068.0,6.010145566828408
E14000677,Easington,Aged 16+,Total,2365.0,67241.0,3.51719932779108
E14000677,Easington,Aged 16-24,Total,575.0,7707.0,7.460749967561957
E14000678,East Devon,Aged 16+,Total,1140.0,91080.0,1.251646903820817
E14000678,East Devon,Aged 16-24,Total,200.0,8736.0,2.2893772893772892
E14000679,East Ham,Aged 16+,Total,8295.0,125164.0,6.627304975871656
E14000679,East Ham,Aged 16-24,Total,1040.0,18950.0,5.488126649076517
E14000680,East Hampshire,Aged 16+,Total,1335.0,83245.0,1.6036999219172323
E14000680,East Hampshire,Aged 16-24,Total,175.0,9047.0,1.934342876091522
E14000681,East Surrey,Aged 16+,Total,1595.0,91898.0,1.7356199264401837
E14000681,East Surrey,Aged 16-24,Total,265.0,9651.0,2.745829447725624
E14000682,East Worthing and Shoreham,Aged 16+,Total,1525.0,81268.0,1.8765073583698382
E14000682,East Worthing and Shoreham,Aged 16-24,Total,305.0,8463.0,3.603922958761668
E14000683,East Yorkshire,Aged 16+,Total,1840.0,87167.0,2.1108905893285304
E14000683,East Yorkshire,Aged 16-24,Total,320.0,7719.0,4.145614716932245
E14000684,Eastbourne,Aged 16+,Total,2880.0,92118.0,3.1264248029701034
E14000684,Eastbourne,Aged 16-24,Total,490.0,10284.0,4.764683002722676
E14000685,Eastleigh,Aged 16+,Total,1625.0,91912.0,1.7679954739315866
E14000685,Eastleigh,Aged 16-24,Total,285.0,10084.0,2.8262594208647362
E14000686,Eddisbury,Aged 16+,Total,1255.0,76002.0,1.651272334938554
E14000686,Eddisbury,Aged 16-24,Total,245.0,7838.0,3.125797397295228
E14000687,Edmonton,Aged 16+,Total,6045.0,90588.0,6.67306928069943
E14000687,Edmonton,Aged 16-24,Total,955.0,13385.0,7.134852446768771
E14000688,Ellesmere Port and Neston,Aged 16+,Total,1700.0,71872.0,2.365316117542297
E14000688,Ellesmere Port and Neston,Aged 16-24,Total,350.0,7950.0,4.40251572327044
E14000689,Elmet and Rothwell,Aged 16+,Total,1195.0,82535.0,1.4478706003513662
E14000689,Elmet and Rothwell,Aged 16-24,Total,220.0,8731.0,2.519757187034704
E14000690,Eltham,Aged 16+,Total,2900.0,74960.0,3.8687299893276412
E14000690,Eltham,Aged 16-24,Total,500.0,9024.0,5.540780141843971
E14000691,Enfield North,Aged 16+,Total,4110.0,83187.0,4.940675826751776
E14000691,Enfield North,Aged 16-24,Total,665.0,11249.0,5.9116365899191035
E14000692,"Enfield, Southgate",Aged 16+,Total,2875.0,83892.0,3.4270252229056406
E14000692,"Enfield, Southgate",Aged 16-24,Total,325.0,9015.0,3.6051026067665006
E14000693,Epping Forest,Aged 16+,Total,1950.0,81490.0,2.3929316480549763
E14000693,Epping Forest,Aged 16-24,Total,315.0,9177.0,3.4324942791762014
E14000694,Epsom and Ewell,Aged 16+,Total,1315.0,88737.0,1.4819072089432819
E14000694,Epsom and Ewell,Aged 16-24,Total,210.0,10291.0,2.0406180157419107
E14000695,Erewash,Aged 16+,Total,2210.0,79613.0,2.775928554381822
E14000695,Erewash,Aged 16-24,Total,440.0,8927.0,4.928867480676599
E14000696,Erith and Thamesmead,Aged 16+,Total,4540.0,93325.0,4.864720064291454
